AnyHomesField;AnyHomesType;AnyHomesPossibleValues;AnyHomesDescription;Priority;MoteurImmoField;MoteurImmoType;MoteurImmoExamples;MoteurImmoDescription;Action for Data field not existing in Anyhomes;Comments;Guidelines;Code traitement ;
name;String;free text;Nom interne du bien;utile;raw.title / raw.headline;String;"Appartement 1 pi√®ce 22 m¬≤ | ""2 pi√®ces meubl√© 32 m¬≤ ?""";Titre de l‚Äôannonce externe;;Souvent identique √† propertyTitle.;;Réaliser le mapping;
propertyTitle;String;free text;Titre affich√© du bien;critique;raw.title / raw.headline;String;"Appartement 1 pi√®ce 22 m¬≤ | ""Paris xvii - batignolles - 2 chambres""";Titre de l‚Äôannonce externe;;Champ obligatoire AnyHomes.;;Réaliser le mapping;
content;String;free text;Description longue du bien;critique;raw.description / raw.body;String;Au coeur du quartier central...;Description compl√®te de l‚Äôannonce;;Principal champ de contenu.;;Réaliser le mapping;
price;Number;positive number;Prix du bien ou montant du loyer;critique;raw.price / raw.originalPrice / raw.rent;Number;870 | 800000 | 1550;Montant publi√© de l‚Äôannonce;;Base de toute page financi√®re. Le champs Price de Anyhomes reçoit le loyer ou le prix en fonction du statut du bien.;;Réaliser le mapping;
originalPrice;Number;positive number or null;Prix initial ou ant√©rieur;utile;raw.originalPrice;Number;null | 800000;Prix historique ou initial;;Peut √™tre utilis√© pour montrer une baisse de prix.;;Réaliser le mapping;
area;String;free text;Surface exprim√©e;utile;raw.surface / raw.livingArea / raw.area;Number;29 | 70 | 22;Surface en m¬≤ provenant du flux;;Doit √™tre normalis√© en nombre.;;Réaliser le mapping;
surface;String;free text;Surface utile du bien;critique;raw.surface / raw.livingArea / raw.area;Number;29 | 70 | 22;Surface en m¬≤;;Redondant avec area mais utilis√© par le front.;;Réaliser le mapping;
rooms;String;free text;Nombre de pi√®ces;critique;raw.rooms / raw.nbRooms;Number;2 | 4 | 1;Nombre de pi√®ces;;Important pour filtrage et affichage.;;Réaliser le mapping;
bedrooms;String;free text;Nombre de chambres;critique;raw.bedrooms;Number;1 | 3 | null;Chambres;;Null signifie souvent studio.;;Réaliser le mapping;
bathroom;String;free text;Nombre de salles de bain;utile;raw.baths / raw.bathrooms / raw.bathroom;Number;null;Salles d‚Äôeau;;Champ souvent absent en flux.;;Réaliser le mapping;
propertyFloor;String;free text;√âtage du bien;optionnel;raw.floor / raw.level;Number;2 | 5 | 0;√âtage si renseign√©;;Ok si disponible.;;Réaliser le mapping;
building;String;free text;Ann√©e de construction;utile;raw.constructionYear;Number;1890;Ann√©e construction;;Permet afficher √¢ge du bien.;;Réaliser le mapping;
