# City: Paris
location,radius,type,minPrice,maxPrice,count,ok
Paris,10,sale,0,200000,0,true
Paris,10,sale,200001,400000,0,true
Paris,10,sale,400001,600000,0,true
Paris,10,sale,600001,800000,0,true
Paris,10,sale,800001,1000000,0,true
Paris,10,sale,1000001,5000000,0,true
Paris,10,rental,0,200000,0,true
Paris,10,rental,200001,400000,0,true
Paris,10,rental,400001,600000,0,true
Paris,10,rental,600001,800000,0,true
Paris,10,rental,800001,1000000,0,true
Paris,10,rental,1000001,5000000,0,true
Paris,7,sale,0,200000,0,true
Paris,7,sale,200001,400000,0,true
Paris,7,sale,400001,600000,0,true
Paris,7,sale,600001,800000,0,true
Paris,7,sale,800001,1000000,0,true
Paris,7,sale,1000001,5000000,0,true
Paris,7,rental,0,200000,0,true
Paris,7,rental,200001,400000,0,true
Paris,7,rental,400001,600000,0,true
Paris,7,rental,600001,800000,0,true
Paris,7,rental,800001,1000000,0,true
Paris,7,rental,1000001,5000000,0,true
Paris,5,sale,0,200000,0,true
Paris,5,sale,200001,400000,0,true
Paris,5,sale,400001,600000,0,true
Paris,5,sale,600001,800000,0,true
Paris,5,sale,800001,1000000,0,true
Paris,5,sale,1000001,5000000,0,true
Paris,5,rental,0,200000,0,true
Paris,5,rental,200001,400000,0,true
Paris,5,rental,400001,600000,0,true
Paris,5,rental,600001,800000,0,true
Paris,5,rental,800001,1000000,0,true
Paris,5,rental,1000001,5000000,0,true
Paris,3,sale,0,200000,0,true
Paris,3,sale,200001,400000,0,true
Paris,3,sale,400001,600000,0,true
Paris,3,sale,600001,800000,0,true
Paris,3,sale,800001,1000000,0,true
Paris,3,sale,1000001,5000000,0,true
Paris,3,rental,0,200000,0,true
Paris,3,rental,200001,400000,0,true
Paris,3,rental,400001,600000,0,true
Paris,3,rental,600001,800000,0,true
Paris,3,rental,800001,1000000,0,true
Paris,3,rental,1000001,5000000,0,true
Paris,2,sale,0,200000,0,true
Paris,2,sale,200001,400000,0,true
Paris,2,sale,400001,600000,0,true
Paris,2,sale,600001,800000,0,true
Paris,2,sale,800001,1000000,0,true
Paris,2,sale,1000001,5000000,0,true
Paris,2,rental,0,200000,0,true
Paris,2,rental,200001,400000,0,true
Paris,2,rental,400001,600000,0,true
Paris,2,rental,600001,800000,0,true
Paris,2,rental,800001,1000000,0,true
Paris,2,rental,1000001,5000000,0,true
# City: Lille
location,radius,type,minPrice,maxPrice,count,ok
Lille,10,sale,0,200000,0,true
Lille,10,sale,200001,400000,0,true
Lille,10,sale,400001,600000,0,true
Lille,10,sale,600001,800000,0,true
Lille,10,sale,800001,1000000,0,true
Lille,10,sale,1000001,5000000,0,true
Lille,10,rental,0,200000,0,true
Lille,10,rental,200001,400000,0,true
Lille,10,rental,400001,600000,0,true
Lille,10,rental,600001,800000,0,true
Lille,10,rental,800001,1000000,0,true
Lille,10,rental,1000001,5000000,0,true
Lille,7,sale,0,200000,0,true
Lille,7,sale,200001,400000,0,true
Lille,7,sale,400001,600000,0,true
Lille,7,sale,600001,800000,0,true
Lille,7,sale,800001,1000000,0,true
Lille,7,sale,1000001,5000000,0,true
Lille,7,rental,0,200000,0,true
Lille,7,rental,200001,400000,0,true
Lille,7,rental,400001,600000,0,true
Lille,7,rental,600001,800000,0,true
Lille,7,rental,800001,1000000,0,true
Lille,7,rental,1000001,5000000,0,true
Lille,5,sale,0,200000,0,true
Lille,5,sale,200001,400000,0,true
Lille,5,sale,400001,600000,0,true
Lille,5,sale,600001,800000,0,true
Lille,5,sale,800001,1000000,0,true
Lille,5,sale,1000001,5000000,0,true
Lille,5,rental,0,200000,0,true
Lille,5,rental,200001,400000,0,true
Lille,5,rental,400001,600000,0,true
Lille,5,rental,600001,800000,0,true
Lille,5,rental,800001,1000000,0,true
Lille,5,rental,1000001,5000000,0,true
Lille,3,sale,0,200000,0,true
Lille,3,sale,200001,400000,0,true
Lille,3,sale,400001,600000,0,true
Lille,3,sale,600001,800000,0,true
Lille,3,sale,800001,1000000,0,true
Lille,3,sale,1000001,5000000,0,true
Lille,3,rental,0,200000,0,true
Lille,3,rental,200001,400000,0,true
Lille,3,rental,400001,600000,0,true
Lille,3,rental,600001,800000,0,true
Lille,3,rental,800001,1000000,0,true
Lille,3,rental,1000001,5000000,0,true
Lille,2,sale,0,200000,0,true
Lille,2,sale,200001,400000,0,true
Lille,2,sale,400001,600000,0,true
Lille,2,sale,600001,800000,0,true
Lille,2,sale,800001,1000000,0,true
Lille,2,sale,1000001,5000000,0,true
Lille,2,rental,0,200000,0,true
Lille,2,rental,200001,400000,0,true
Lille,2,rental,400001,600000,0,true
Lille,2,rental,600001,800000,0,true
Lille,2,rental,800001,1000000,0,true
Lille,2,rental,1000001,5000000,0,true
